"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelv0.nlogo"
"mathias_et_al"
"08/23/2024 17:02:40:934 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","LongueurFilet","PropBiomassPecheSenegalais","QtéMaxPoissonPirogueEtrangers","PrixPoisson","BiomassInit","nbBoats","LongueurFiletEtrangers","ReserveIntegrale","satifsactionCapitalG","SatisfactionCapital","satisfactionBiomassG","ZonesExclusionPeche","SortieSemaine","capital_totalI","PropBiomassPecheEtrangers","QtéMaxPoissonPirogue","CoutMaintenance","ProportionSenegalais","[step]","sumBiomass","biomassfished","capital_moyen_1","capital_moyen_2","meanMST","medianMFET","MFETb","MFETc","MSTb","MSTc"
"3","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7812.399350983559","2.2058165770198435","-2357696.088954678","4.384066157438275E7","0.4476085309432076","190","1","1260","1","0.6549739654699918"
"6","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7818.257927423421","2.2911034206386716","-2353045.0533012096","4.385343391248167E7","0.4475521093611465","190.5","1","1260","1","0.6549739654699918"
"4","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7807.103613229167","2.1518723076519226","-2353033.4665517043","4.387445688276725E7","0.4477616752373737","189.5","1","1258","1","0.6555220608385859"
"5","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7810.070297160829","2.252011923552106","-2354684.720390129","4.387205204005364E7","0.44762465139522517","190.5","1","1259","1","0.6552480131542888"
"2","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7812.9517230089805","2.177292309364866","-2353285.5173946656","4.385548926865407E7","0.44762465139522517","190","1","1258","1","0.6555220608385859"
"1","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7807.435805913303","2.2265586585511774","-2353681.4174215025","4.388728844157613E7","0.447689133203295","190.5","1","1258","1","0.6555220608385859"
"11","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8816.803667428792","2.5746249167125823","-6101796.4856485715","1.9742393186661053E7","0.3911627682040204","396.5","1","0","1","0"
"7","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7810.847833703882","2.2149894004341464","-2354099.072492033","4.385583250682481E7","0.44771331388132124","190","1","1259","1","0.6552480131542888"
"10","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7814.386402022254","2.1623507164028597","-2354357.0794641036","4.386158357020249E7","0.44772137410733","190","1","1258","1","0.6555220608385859"
"8","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7810.608802738006","2.2161997847043025","-2357028.5207789396","4.386918821195972E7","0.44763271162123386","190","1","1258","1","0.6555220608385859"
"12","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8818.116643802694","2.5382005337098157","-6101810.4956804","1.974910358213495E7","0.3911708284300292","396","1","0","1","0"
"9","2000","1","31","1900","10000","50","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","7811.128948951894","2.2155268325055735","-2356710.6731735715","4.386341050250011E7","0.447689133203295","190","1","1259","1","0.6552480131542888"
"14","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8816.42965243782","2.5341457574936723","-6100516.801464983","1.9780944449808337E7","0.3912514306901166","396","1","0","1","0"
"15","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8817.721327930878","2.534133213888653","-6102414.942146264","1.9739643123402983E7","0.3910982863959505","396.5","1","0","1","0"
"13","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8816.085676696854","2.584755080299493","-6103236.274999019","1.973654240430142E7","0.3911627682040204","396.5","1","0","1","0"
"16","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8816.082007086721","2.5443978660444606","-6102201.6840760205","1.9749757264821928E7","0.39111440684796805","397","1","0","1","0"
"17","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8816.228130973228","2.5262683186665864","-6100448.490907118","1.9763183500799015E7","0.3911950091080554","396.5","1","0","1","0"
"18","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8815.779093970375","2.5450061476501245","-6102712.386820033","1.9739777662715234E7","0.3910821659439331","397","1","0","1","0"
"19","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8815.373887880303","2.5797753390977736","-6100651.494176165","1.9759225797191564E7","0.3912272500120903","396.5","1","0","1","0"
"20","2000","1","31","1900","10000","50","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","8818.879916630309","2.4910234381764815","-6101724.043850254","1.974998498116681E7","0.39113858752599423","396.5","1","0","1","0"
"22","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5704.2784108194055","3.072886125010317","-4827078.562176669","2.7796772092408337E7","0.4234600938210307","274.5","1","1289","1","0.6470265826253768"
"21","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5713.555321801873","3.0288261597889172","-4818596.391282568","2.785560161236906E7","0.4235245756291007","274","1","1285","1","0.6481227733625651"
"24","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5708.096057694128","3.1076962108811337","-4821149.601821951","2.7823187850193437E7","0.42353666596811373","276","1","1290","1","0.6467525349410798"
"23","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5710.183725899547","3.1315143941670422","-4824338.687120959","2.7829269053143322E7","0.42360114777618363","274.5","1","1285","1","0.6481227733625651"
"25","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5702.216205537753","3.0824335470976187","-4820062.49996116","2.787079003854144E7","0.4236172682282011","272.5","1","1283","1","0.6486708687311592"
"26","2000","1","31","1900","10000","60","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","5714.409596957838","3.039729517880607","-4822956.387655504","2.785290019138346E7","0.4237865329743846","275","1","1282","1","0.6489449164154563"
