"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"../viabFishSng/modelv0.nlogo"
"experiment_mathias"
"05/31/2024 09:03:08:723 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","LongueurFilet","LongueurFiletEtrangers","SortieSemaine","ZonesExclusionPeche","PropBiomassPecheSenegalais","PropBiomassPecheEtrangers","QtéMaxPoissonPirogueEtrangers","QtéMaxPoissonPirogue","PrixPoisson","nbBoats","ReserveIntegrale","CoutMaintenance","ProportionSenegalais","capital_totalI","BiomassInit","[step]","sumBiomass","biomassfished","capital_moyen_1","capital_moyen_2","meanMST","medianMFET","MFETb","MFETc","MSTb","MSTc"
"10","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75937.10489926075","32.92184882044983","3.247611862407285E7","3.2475124810326327E7","4.110715264456015E-4","0.5","1","1","1","1"
"42","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","200000","3650","151873.62089342118","66.23342494517993","7.592447787420161E7","7.591166771625285E7","1.3702384214853386E-4","0","0","0","0","0"
"25","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75939.58445607424","33.16112337744447","3.2475161526582792E7","3.247394208509269E7","4.110715264456015E-4","0.5","1","1","1","1"
"33","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","200000","3650","151900.96181996146","66.29152466595608","7.591259629527782E7","7.58823346433521E7","1.3702384214853386E-4","0","0","0","0","0"
"26","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75944.51178968661","32.892787930155876","3.2481883069017533E7","3.2475180374616727E7","4.110715264456015E-4","0.5","1","1","1","1"
"50","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","200000","3650","151890.81096781656","65.74273055332935","7.588934236377157E7","7.588279730805126E7","1.3702384214853386E-4","0","0","0","0","0"
"4","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75953.7662726424","33.17890719089337","3.2471026972739574E7","3.2484324733473994E7","4.110715264456015E-4","0.5","1","1","1","1"
"14","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75942.62525167597","32.753021912211665","3.2475541542393316E7","3.2476021342702426E7","4.110715264456015E-4","0.5","1","1","1","1"
"30","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75926.35246262091","33.12869007280962","3.2472768981483348E7","3.2484148674712528E7","4.110715264456015E-4","0.5","1","1","1","1"
"27","2000","2000","6","true","1","1","250","250","1000","100","0","3000","50","0","100000","3650","75943.17363403385","32.632089912008325","3.247255356317873E7","3.248117050961359E7","4.110715264456015E-4","0.5","1","1","1","1"
