evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,LongueurFilet,LongueurFiletEtrangers,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,mySeed
1540,1540,364.56563137724623,5.12457695957638,false,2406.5022755331393,1308.9773471363735,2760.3108801146054,202400.19308055734,203476.0093123014,1,"[203476.0093123014]","[161360.56288776302]","[202400.19308055734]","[42115.44642453837]","[1563923477]"
1540,1540,194.8401709925854,1.8205828052420758,false,1784.5080379120068,1472.61815237035,2329.4626409156526,267262.85275350965,154215.5711052868,1,"[154215.5711052868]","[112830.13616688471]","[267262.85275350965]","[41385.4349384021]","[-1488401513]"
1540,1540,117.47746019876007,0.5315326926437463,true,1875.6844982534965,1194.3381985043088,3738.50999472193,305607.5394238451,326851.7858232825,1,"[326851.7858232825]","[292825.933554369]","[305607.5394238451]","[34025.85226891348]","[-967795864]"
1540,1540,173.10606921691033,3.6332284325608186,true,1539.471493250967,2578.992510235265,2241.1811761815834,293553.3960684475,206031.0905925976,1,"[206031.0905925976]","[81402.38386065196]","[293553.3960684475]","[124628.70673194567]","[1161250576]"
1540,1540,180.07078235797346,5.471186671166449,false,1392.4719734082223,3106.657646225568,2033.9675327595232,297206.5914309469,244878.5963223583,1,"[244878.5963223583]","[79273.10019997797]","[297206.5914309469]","[165605.4961223803]","[-1786138279]"
1540,1540,489.2533358969793,1.9035845263419753,false,1037.1622488201674,1903.930317086269,2132.6867907164146,23514.118695093668,2808.091894598288,1,"[2808.091894598288]","[1806.3447047786958]","[23514.118695093668]","[1001.7471898195922]","[1600930330]"
1540,1540,101.30976847114691,0.3043735326406518,false,1852.5967327083636,1187.2017382126994,3797.9971374319616,294233.6861881205,354478.7908451941,1,"[354478.7908451941]","[321506.48383397254]","[294233.6861881205]","[32972.30701122153]","[565585142]"
1540,1540,100.0,3.836830741221692,true,1017.5755340793216,3868.2982191159344,1727.2031564706804,333596.2097036956,231428.07705009042,1,"[231428.07705009042]","[38089.04264053993]","[333596.2097036956]","[193339.03440955048]","[-1631096412]"
1540,1540,600.0,6.0,true,1000.0,3723.738452048995,2058.290232898645,73291.83913909903,25527.061870953148,1,"[25527.061870953148]","[6203.3245484185845]","[73291.83913909903]","[19323.737322534562]","[-1997807196]"
1540,1540,377.91103838950437,5.268433569118537,false,2955.1495209889654,3080.3996788854392,2819.168740259088,130718.6188657885,276530.6866632187,1,"[276530.6866632187]","[128518.57702638242]","[130718.6188657885]","[148012.10963683628]","[-716966311]"
