evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,LongueurFilet,LongueurFiletEtrangers,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,mySeed
1720,1720,163.11387577982163,5.315262382170367,true,2996.411043405379,3633.7737755752114,2959.1192971228643,274549.6440464558,662052.696613683,1,"[662052.696613683]","[260220.70178502225]","[274549.6440464558]","[401831.9948286608]","[1533767743]"
1720,1720,369.1457958614452,3.6893490678932803,true,2946.0834609799294,1071.0233901875479,3674.6546676625253,152204.9973844436,210682.7577028262,1,"[210682.7577028262]","[188037.89655474585]","[152204.9973844436]","[22644.861148080356]","[-1784935794]"
1720,1720,179.54982739884258,5.243069725688864,false,2957.0640612196758,3821.6081417213313,2581.080828416284,270581.78112171026,695467.673793338,1,"[695467.673793338]","[226607.58386283735]","[270581.78112171026]","[468860.0899305007]","[542781816]"
1720,1720,396.1014367351128,3.462536682179842,false,2090.9915771323604,3831.3589410486024,2649.1764047529023,7227.227681020991,6161.840069203184,1,"[6161.840069203184]","[1199.9483863606272]","[7227.227681020991]","[4961.891682842556]","[1366585879]"
1720,1720,121.62309208380985,3.83588828176596,true,3000.0,3137.706941328561,2530.95170477403,301396.1631743498,599244.6588412225,1,"[599244.6588412225]","[253122.86554425932]","[301396.1631743498]","[346121.79329696327]","[-513799404]"
1720,1720,100.62098622663363,4.871289297419496,true,1521.810960941864,2709.551193051481,1341.6035437768078,358941.1787524812,200044.46953374104,1,"[200044.46953374104]","[46774.146015091734]","[358941.1787524812]","[153270.3235186493]","[-1172447909]"
1720,1720,355.2566439782512,3.8400866281045074,false,3000.0,1613.7278640562774,3026.060506464638,168760.30101668922,252265.66567044373,1,"[252265.66567044373]","[193001.89436416802]","[168760.30101668922]","[59263.77130627571]","[-1362506045]"
1720,1720,262.8263519754088,4.745762979463601,true,2365.5888283769627,2234.446299809248,3660.1696409011856,211069.25329319897,319374.99650447775,1,"[319374.99650447775]","[235289.33042867758]","[211069.25329319897]","[84085.66607580017]","[337505585]"
1720,1720,240.51840025062847,2.6213716596734438,true,1000.0,3475.118637809768,3146.4071320725598,159725.3233473401,109113.86046163397,1,"[109113.86046163397]","[49828.5216146137]","[159725.3233473401]","[59285.33884702026]","[488305787]"
1720,1720,100.0,5.566112824878246,true,1379.8009690985295,2949.6807949808126,4000.0,326532.0705737826,406207.2267998002,1,"[406207.2267998002]","[261295.64595297337]","[326532.0705737826]","[144911.58084682684]","[-1062243737]"
