evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,BiomassInit,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,evolution$generated,om_MSTb,om_MFETc,om_MFETb,om_MSTc,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,om_biomassfished,mySeed
900,900,50.0,6.0,false,1449.943058938885,379173.0674606118,357814.3711681452,4.59156443501403E8,1,519,"[0.0]","[54.0]","[0.0]","[0.9854794520547945]","[4.59156443501403E8]","[3.1796804500243485E8]","[357814.3711681452]","[1.411883984989681E8]","[53.95165739759808]","[1902666594]"
900,900,50.0,3.6057682817025287,false,2078.9705471893503,141361.5071198963,132494.2708661404,3.306424683615111E8,1,333,"[0.0]","[107.0]","[0.0]","[0.9709589041095891]","[3.306424683615111E8]","[2.300590120275929E8]","[132494.2708661404]","[1.0058345633391818E8]","[19.837997051997082]","[1098350605]"
900,900,66.32575707580742,5.214074486303719,false,1765.6610527649937,407862.5737757575,361480.92157696304,6.32864677384385E8,1,535,"[0.0]","[27.0]","[0.0]","[0.9928767123287672]","[6.32864677384385E8]","[4.365937934294305E8]","[361480.92157696304]","[1.9627088395495453E8]","[107.93748257768516]","[-1263484774]"
900,900,375.28880635078747,4.30039032686349,true,1545.683529982297,191527.88488575222,77015.2502545122,7.779698759933484E7,1,827,"[0.8805479452054794]","[163.0]","[58.0]","[0.9556164383561644]","[7.779698759933484E7]","[5.69682448570446E7]","[77015.2502545122]","[2.0828742742290244E7]","[102.98871701063193]","[1303391464]"
900,900,193.30556302305374,3.6832339395473306,true,1482.26512351917,438049.0655830868,282263.5544390325,4.2480122405284715E8,1,158,"[0.0]","[33.0]","[0.0]","[0.9912328767123287]","[4.2480122405284715E8]","[2.9391343672249186E8]","[282263.5544390325]","[1.3088778733035526E8]","[235.22091574982232]","[-1372952939]"
900,900,420.5892846506197,1.5935247200431302,true,2021.018948280942,277272.32509943016,44980.15573279797,7.575645973422675E7,1,480,"[0.9728767123287672]","[57.0]","[100.0]","[0.9846575342465753]","[7.575645973422675E7]","[5.561945603093471E7]","[44980.15573279797]","[2.0137003703292042E7]","[53.79010822306639]","[908345788]"
900,900,368.37196847212505,2.7547604223073927,true,2250.435948765031,362387.2103180789,101145.48082069232,2.0001354769057518E8,1,390,"[0.7071188340807175]","[30.0]","[182.0]","[0.9920547945205479]","[2.0001354769057518E8]","[1.4025108936742243E8]","[101145.48082069232]","[5.9762458323152766E7]","[130.09630444129309]","[-863158536]"
900,900,473.5769470606882,5.911680274882379,true,1953.9594882310575,257964.359007559,95705.85308124115,1.0612539993428043E8,1,323,"[0.6068493150684932]","[73.0]","[71.0]","[0.9802739726027397]","[1.0612539993428043E8]","[7.622941489936827E7]","[95705.85308124115]","[2.989598503491216E7]","[155.08793040951372]","[1790518772]"
900,900,160.87534125586615,2.5457637531859634,false,3000.0,326535.2590225702,214722.89597538134,8.277061333026874E8,1,542,"[0.0]","[20.0]","[0.0]","[0.9947945205479453]","[8.277061333026874E8]","[5.690600862369808E8]","[214722.89597538134]","[2.5864604706570655E8]","[156.25730769646313]","[463669911]"
900,900,494.18227427592416,3.2807937238671494,true,1610.8155912458549,381526.47660459694,63683.62047641012,5.875564228966217E7,1,452,"[0.9575342465753425]","[52.0]","[109.0]","[0.986027397260274]","[5.875564228966217E7]","[4.407296985141588E7]","[63683.62047641012]","[1.4682672438246291E7]","[79.78711081247201]","[-2030675721]"
900,900,506.7548468376173,0.0,true,2150.432263109401,343091.70783891005,29144.523112972543,4.460169070260825E7,1,368,"[0.9742465753424657]","[40.0]","[95.0]","[0.9893150684931507]","[4.460169070260825E7]","[3.4513955818851806E7]","[29144.523112972543]","[1.0087734883756444E7]","[25.330468513879072]","[2013926887]"
900,900,600.0,4.85115791447729,false,1728.890551032538,145770.0206895754,4979.9363263189525,-4717781.571996959,1,836,"[0.9958904109589041]","[0.0]","[16.0]","[0.0]","[-4717781.571996959]","[700565.404428097]","[4979.9363263189525]","[-5418346.976425055]","[11.436824518839039]","[-1184036789]"
900,900,420.7691643307503,2.350463129454437,false,2684.045896830212,274182.70667049126,29157.470839845184,1.029223813195069E8,1,65,"[0.9761643835616438]","[36.0]","[88.0]","[0.9904109589041096]","[1.029223813195069E8]","[7.392565796229632E7]","[29157.470839845184]","[2.8996723357210577E7]","[47.382383055855975]","[-466550398]"
900,900,123.67955164072882,1.2795022564414094,false,1240.9508899370328,362514.02147767594,244550.58002683794,4.540771245728377E8,1,6,"[0.0]","[45.0]","[0.0]","[0.9879452054794521]","[4.540771245728377E8]","[3.1410132943644506E8]","[244550.58002683794]","[1.3997579513639268E8]","[143.05124025735208]","[-372948916]"
900,900,133.60699222400626,5.50045991051164,true,1511.1430756062841,130505.50743082428,102469.36716361906,1.2095848735765894E8,1,768,"[0.5010071942446043]","[137.0]","[69.0]","[0.9627397260273972]","[1.2095848735765894E8]","[8.658912750445385E7]","[102469.36716361906]","[3.4369359853205085E7]","[58.27255684627547]","[1414214591]"
900,900,175.98932203454575,2.402053865225579,true,2618.310516194728,302423.50637241895,198724.93080108482,6.406296318916708E8,1,23,"[0.0]","[28.0]","[0.0]","[0.9926027397260274]","[6.406296318916708E8]","[4.412155127418866E8]","[198724.93080108482]","[1.9941411914978424E8]","[135.70222430451184]","[1307100061]"
900,900,111.24391002160445,0.42723111716797346,false,2626.4904095474,325311.43274195504,233872.58468101211,1.0609486465724204E9,1,204,"[0.0]","[26.0]","[0.0]","[0.9931506849315068]","[1.0609486465724204E9]","[7.287466816382017E8]","[233872.58468101211]","[3.322019649342187E8]","[101.87531337643902]","[-2048657363]"
900,900,244.47231215314298,0.2545069797493875,true,1790.231076278609,356078.8271328436,126699.50105841494,3.3980039486188877E8,1,325,"[0.0]","[38.0]","[0.0]","[0.9898630136986302]","[3.3980039486188877E8]","[2.3558893183659855E8]","[126699.50105841494]","[1.0421146302529024E8]","[108.5611504217851]","[-2083754698]"
900,900,248.86542741677795,1.2394075413841223,true,2864.967217227815,367276.3946060307,160648.70757395605,6.069425179300888E8,1,780,"[0.0]","[22.0]","[0.0]","[0.9942465753424657]","[6.069425179300888E8]","[4.1778774486002874E8]","[160648.70757395605]","[1.8915477307006004E8]","[142.34040718343473]","[-195842264]"
900,900,299.0007854160542,3.600352385186098,true,1882.3899688904191,329538.16375902254,153647.68374068636,2.5618928118841124E8,1,539,"[0.13885714285714285]","[40.0]","[574.0]","[0.9893150684931507]","[2.5618928118841124E8]","[1.7856576141218376E8]","[153647.68374068636]","[7.762351977622749E7]","[173.0809354193568]","[-142139845]"
900,900,50.0,5.855504626536175,true,1601.407517698687,151580.59858824173,143028.8076364728,1.9466546147177354E8,1,619,"[0.0]","[132.0]","[0.0]","[0.9641095890410959]","[1.9466546147177354E8]","[1.371027679842634E8]","[143028.8076364728]","[5.7562693487510145E7]","[21.321784008387613]","[-510108078]"
900,900,50.0,1.3007399310434882,true,1293.8236850783576,367830.06397317327,338350.93962872936,6.866129243346524E8,1,280,"[0.0]","[64.0]","[0.0]","[0.9827397260273972]","[6.866129243346524E8]","[4.734387525446452E8]","[338350.93962872936]","[2.1317417179000717E8]","[49.41538109658162]","[-1801627595]"
900,900,433.4168643303735,1.55587729958431,true,2529.081716437271,337225.7963460246,47573.49113254952,9.982732827143021E7,2,7,"[0.9682191780821918,0.9679452054794521]","[30.0,30.0]","[117.0,118.0]","[0.9920547945205479,0.9920547945205479]","[9.982732827143021E7,1.0008692588191457E8]","[7.21451966712685E7,7.231075100511986E7]","[47573.49113254952,47675.58942461831]","[2.7682131600161713E7,2.7776174876794707E7]","[51.24428462200178,48.58595223575948]","[-119392472,1918845899]"
900,900,558.5370822410904,5.050243543977405,false,1702.5084623213504,401643.83203027886,62717.19615184328,7.905169546483351E7,1,15,"[0.8841095890410959]","[47.0]","[88.0]","[0.9873972602739726]","[7.905169546483351E7]","[5.76853072080942E7]","[62717.19615184328]","[2.1366388256739315E7]","[136.31606028631026]","[-345654614]"
900,900,125.38440899288054,4.372787538043415,true,2709.1292090935804,289121.3970275995,223083.51702476156,6.18135925323431E8,1,270,"[0.0]","[25.0]","[0.0]","[0.9934246575342466]","[6.18135925323431E8]","[4.2615103764929104E8]","[223083.51702476156]","[1.9198488767414004E8]","[125.91401377630523]","[-1958752374]"
900,900,600.0,1.723957555119549,true,3000.0,336520.91938066983,31862.657715883364,5.174945637844226E7,1,683,"[0.9805479452054795]","[27.0]","[72.0]","[0.9928767123287672]","[5.174945637844226E7]","[3.9408711012173936E7]","[31862.657715883364]","[1.2340745366268326E7]","[33.48024326137798]","[1679390408]"
900,900,357.1754789969239,4.251795674716192,false,2324.400032623047,177547.6851214911,65457.88362071401,1.2440434265276942E8,1,447,"[0.9819178082191781]","[73.0]","[46.0]","[0.9802739726027397]","[1.2440434265276942E8]","[8.870037176674554E7]","[65457.88362071401]","[3.570397088602387E7]","[101.22632388029633]","[-1900206537]"
900,900,90.35461945491494,4.8467717997774225,true,1451.9794016822998,230244.00072401247,191231.84625737916,2.6483367210670736E8,1,533,"[0.0]","[59.0]","[0.0]","[0.9841095890410959]","[2.6483367210670736E8]","[1.849288402703855E8]","[191231.84625737916]","[7.990483183632186E7]","[82.68537784494659]","[-1177061849]"
900,900,382.70914548961696,4.747428716782434,false,2790.9548160439454,328684.4890070701,133435.5707095709,3.158883794595134E8,1,659,"[0.46805476326297774]","[26.0]","[131.0]","[0.9931506849315068]","[3.158883794595134E8]","[2.1922238823796943E8]","[133435.5707095709]","[9.6665991221544E7]","[206.28663821603877]","[-1380973428]"
900,900,406.87777511670294,4.107397008781255,true,1543.3813994566967,425524.72527483985,141598.88897364415,1.5897794770158595E8,1,758,"[0.3685860889395667]","[43.0]","[193.0]","[0.9884931506849315]","[1.5897794770158595E8]","[1.1222487713841431E8]","[141598.88897364415]","[4.6753070563171655E7]","[205.72097967780516]","[-330314471]"
900,900,245.3158992061755,4.472335545706494,false,2099.921021008694,405333.5117475616,246281.4721942591,5.0009700243567634E8,1,258,"[0.0]","[27.0]","[0.0]","[0.9928767123287672]","[5.0009700243567634E8]","[3.452471744886504E8]","[246281.4721942591]","[1.5484982794702595E8]","[253.36820091724087]","[399514103]"
